Date,Open
26-06-2015,127.67
29-06-2015,125.46
30-06-2015,125.57
01-07-2015,126.9
02-07-2015,126.43
06-07-2015,124.94
07-07-2015,125.89
08-07-2015,124.48
09-07-2015,123.85
10-07-2015,121.94
13-07-2015,125.03
14-07-2015,126.04
15-07-2015,125.72
16-07-2015,127.74
17-07-2015,129.08
20-07-2015,130.97
21-07-2015,132.85
22-07-2015,121.99
23-07-2015,126.2
24-07-2015,125.32
27-07-2015,123.09
28-07-2015,123.38
29-07-2015,123.15
30-07-2015,122.32
31-07-2015,122.6
03-08-2015,121.5
04-08-2015,117.42
05-08-2015,112.95
06-08-2015,115.97
07-08-2015,114.58
10-08-2015,116.53
11-08-2015,117.81
12-08-2015,112.53
13-08-2015,116.04
14-08-2015,114.32
17-08-2015,116.04
18-08-2015,116.43
19-08-2015,116.1
20-08-2015,114.08
21-08-2015,110.43
24-08-2015,94.87
25-08-2015,111.11
26-08-2015,107.085
27-08-2015,112.25
28-08-2015,112.17
31-08-2015,112.13
01-09-2015,110.18
02-09-2015,110
03-09-2015,112.49
04-09-2015,108.97
08-09-2015,111.65
09-09-2015,113.76
10-09-2015,110.27
11-09-2015,111.79
14-09-2015,116.58
15-09-2015,115.93
16-09-2015,116.25
17-09-2015,115.66
18-09-2015,112.21
21-09-2015,113.67
22-09-2015,113.38
23-09-2015,113.63
24-09-2015,113.25
25-09-2015,116.44
28-09-2015,113.85
29-09-2015,112.83
